name,mana_cost,card_type,power,card_text,artist,collection,lowPrice,highPrice,front_image,back_image
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Jonas De Ro,Core Set 2021,0.89,0.89,https://c1.scryfall.com/file/scryfall-cards/png/front/f/a/fa3b8665-31f2-4142-a076-54bccdaf5a15.png?1594266488,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Jonas De Ro,Core Set 2021,0.94,0.94,https://c1.scryfall.com/file/scryfall-cards/png/front/0/1/0162885d-3f55-4440-b40d-e38d378c4567.png?1594266491,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Jonas De Ro,Core Set 2021,0.79,0.79,https://c1.scryfall.com/file/scryfall-cards/png/front/b/6/b6e049ae-bb12-41af-bbe4-ceded30bad67.png?1594266495,-
Containment Priest,{1}{W},Creature — Human Cleric,2/2,"Flash If a nontoken creature would enter the battlefield and it wasn't cast, exile it instead.",Jesper Ejsing,Core Set 2021,0.33,0.33,https://c1.scryfall.com/file/scryfall-cards/png/front/d/5/d51bacdd-040e-45f7-9256-85f93801a10e.png?1594305393,-
Grim Tutor,{1}{B}{B},Sorcery,-,"Search your library for a card, put that card into your hand, then shuffle. You lose 3 life.",Antonio José Manzanedo,Core Set 2021,19.14,19.14,https://c1.scryfall.com/file/scryfall-cards/png/front/f/b/fbf0dded-552a-4ad2-bb62-f1bfabad9bac.png?1596045471,-
Massacre Wurm,{3}{B}{B}{B},Creature — Phyrexian Wurm,6/5,"When Massacre Wurm enters the battlefield, creatures your opponents control get -2/-2 until end of turn. Whenever a creature an opponent controls dies, that player loses 2 life.",Kekai Kotaki,Core Set 2021,4.86,4.86,https://c1.scryfall.com/file/scryfall-cards/png/front/a/0/a0523c0a-b9b6-4946-b90d-ed8e13cf1915.png?1595171843,-
Cultivate,{2}{G},Sorcery,-,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",Billy Christian,Core Set 2021,2.02,2.02,https://c1.scryfall.com/file/scryfall-cards/png/front/3/1/31233339-c5ec-40fb-badd-94ef7f0ff7c0.png?1596045422,-
Scavenging Ooze,{1}{G},Creature — Ooze,2/2,"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life.",Sam Rowan,Core Set 2021,0.91,0.91,https://c1.scryfall.com/file/scryfall-cards/png/front/0/a/0a91920a-7de3-4e9b-9cce-ff43ce0157b8.png?1596045464,-
Solemn Simulacrum,{4},Artifact Creature — Golem,2/2,"When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. When Solemn Simulacrum dies, you may draw a card.",Joseph Meehan,Core Set 2021,2.26,2.26,https://c1.scryfall.com/file/scryfall-cards/png/front/2/5/25eab51a-8dad-4a37-9551-c6bf0dc6ecf5.png?1596045477,-
"Basri, Devoted Paladin",{4}{W}{W},Legendary Planeswalker — Basri,4,"+1: Put a +1/+1 counter on up to one target creature. It gains vigilance until end of turn. −1: Whenever a creature attacks this turn, put a +1/+1 counter on it. −6: Creatures you control get +2/+2 and gain flying until end of turn.",Jason Rainville,Core Set 2021,1.77,1.77,https://c1.scryfall.com/file/scryfall-cards/png/front/2/6/2688b45d-9d74-4d9f-9a63-29c82b48d64f.png?1596168674,-
Adherent of Hope,{1}{W},Creature — Human Soldier,2/1,"At the beginning of combat on your turn, if you control a Basri planeswalker, put a +1/+1 counter on Adherent of Hope.",Dan Scott,Core Set 2021,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/c/e/ce2bc7ad-458d-445e-a0a9-7897b596fdd0.png?1596250018,-
Basri's Aegis,{2}{W}{W},Sorcery,-,"Put a +1/+1 counter on each of up to two target creatures. You may search your library and/or graveyard for a card named Basri, Devoted Paladin, reveal it, and put it into your hand. If you search your library this way, shuffle.",Paul Scott Canavan,Core Set 2021,0.23,0.23,https://c1.scryfall.com/file/scryfall-cards/png/front/5/7/577657ed-162f-4104-b0af-ee9733e90f20.png?1596250020,-
Sigiled Contender,{3}{W},Creature — Human Warrior,3/3,Sigiled Contender has lifelink as long as it has a +1/+1 counter on it. (Damage dealt by this creature also causes you to gain that much life.),Randy Vargas,Core Set 2021,0.15,0.15,https://c1.scryfall.com/file/scryfall-cards/png/front/5/b/5ba81e67-8fa5-441c-bf14-2d75c168a617.png?1596250021,-
"Teferi, Timeless Voyager",{4}{U}{U},Legendary Planeswalker — Teferi,4,"+1: Draw a card. −3: Put target creature on top of its owner's library. −8: Each creature target opponent controls phases out. Until the end of your next turn, they can't phase in. (Treat them and anything attached to them as though they don't exist.)",Jake Murray,Core Set 2021,1.67,1.67,https://c1.scryfall.com/file/scryfall-cards/png/front/6/2/62d05287-ad7f-4de8-9f68-8f36c62fae72.png?1596167267,-
Historian of Zhalfir,{2}{U}{U},Creature — Human Wizard,3/3,"Whenever Historian of Zhalfir attacks, if you control a Teferi planeswalker, draw a card.",Denman Rooke,Core Set 2021,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/a/e/ae981da0-f32c-49d5-bcb0-2b9255a4e1fe.png?1596250023,-
Mystic Skyfish,{2}{U},Creature — Fish,3/1,"Whenever you draw your second card each turn, Mystic Skyfish gains flying until end of turn.",Alayna Danner,Core Set 2021,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/0/0/0002ab72-834b-4c81-82b1-0d2760ea96b0.png?1596250027,-
Teferi's Wavecaster,{3}{U}{U},Creature — Merfolk Wizard,3/3,"Flash When Teferi's Wavecaster enters the battlefield, you may search your library and/or graveyard for a card named Teferi, Timeless Voyager, reveal it, and put it into your hand. If you search your library this way, shuffle.",Miranda Meeks,Core Set 2021,0.14,0.14,https://c1.scryfall.com/file/scryfall-cards/png/front/d/6/d67e4c42-a44f-456b-87e7-21ca56dc4630.png?1596250030,-
"Liliana, Death Mage",{4}{B}{B},Legendary Planeswalker — Liliana,4,+1: Return up to one target creature card from your graveyard to your hand. −3: Destroy target creature. Its controller loses 2 life. −7: Target opponent loses 2 life for each creature card in their graveyard.,Kieran Yanner,Core Set 2021,8.48,8.48,https://c1.scryfall.com/file/scryfall-cards/png/front/9/2/921e3dc3-f8eb-4498-a6a8-b424952230cd.png?1596167418,-
Liliana's Scorn,{3}{B}{B},Sorcery,-,"Destroy target creature. You may search your library and/or graveyard for a card named Liliana, Death Mage, reveal it, and put it into your hand. If you search your library this way, shuffle.",Josh Hass,Core Set 2021,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/b/2/b231f941-4acb-46f2-81ae-16e5a28e65af.png?1596250190,-
Liliana's Scrounger,{2}{B},Creature — Human Wizard,3/2,"At the beginning of each end step, if a creature died this turn, you may put a loyalty counter on a Liliana planeswalker you control.",Martina Fackova,Core Set 2021,0.38,0.38,https://c1.scryfall.com/file/scryfall-cards/png/front/5/a/5a64625f-937a-449e-b1fc-cd0f25b033f6.png?1596250192,-
Spirit of Malevolence,{1}{B},Creature — Spirit,2/1,"When Spirit of Malevolence dies, each opponent loses 1 life and you gain 1 life.",Josu Hernaiz,Core Set 2021,0.11,0.11,https://c1.scryfall.com/file/scryfall-cards/png/front/c/f/cf3765b7-11e2-4837-b5e5-ca24adc0e33c.png?1596250197,-
"Chandra, Flame's Catalyst",{4}{R}{R},Legendary Planeswalker — Chandra,5,"+1: Chandra, Flame's Catalyst deals 3 damage to each opponent. −2: You may cast target red instant or sorcery card from your graveyard. If that spell would be put into your graveyard this turn, exile it instead. −8: Discard your hand, then draw seven cards. Until end of turn, you may cast spells from your hand without paying their mana costs.",Grzegorz Rutkowski,Core Set 2021,7.18,7.18,https://c1.scryfall.com/file/scryfall-cards/png/front/1/e/1e49ce44-5286-4310-88c2-f8a1402b113b.png?1596168039,-
Chandra's Firemaw,{3}{R}{R},Creature — Hellion,4/2,"Haste When Chandra's Firemaw enters the battlefield, you may search your library and/or graveyard for a card named Chandra, Flame's Catalyst, reveal it, and put it into your hand. If you search your library this way, shuffle.",Bryan Sola,Core Set 2021,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/7/6/76cf0b50-155f-4e65-9e48-88b378ad93a1.png?1596250195,-
Keral Keep Disciples,{2}{R}{R},Creature — Human Monk,4/3,"Whenever you activate a loyalty ability of a Chandra planeswalker, Keral Keep Disciples deals 1 damage to each opponent.",Leesha Hannigan,Core Set 2021,0.18,0.18,https://c1.scryfall.com/file/scryfall-cards/png/front/7/b/7b862e46-f5a2-4fce-98b5-2c5aa49ec648.png?1596250198,-
Storm Caller,{2}{R},Creature — Ogre Shaman,3/2,"When Storm Caller enters the battlefield, it deals 2 damage to each opponent.",Manuel Castañón,Core Set 2021,0.25,0.25,https://c1.scryfall.com/file/scryfall-cards/png/front/1/b/1b6d123c-c16d-43fa-b183-8a59c7e1a11e.png?1596250199,-
"Garruk, Savage Herald",{4}{G}{G},Legendary Planeswalker — Garruk,5,"+1: Reveal the top card of your library. If it's a creature card, put it into your hand. Otherwise, put it on the bottom of your library. −2: Target creature you control deals damage equal to its power to another target creature. −7: Until end of turn, creatures you control gain ""You may have this creature assign its combat damage as though it weren't blocked.""",Eric Deschamps,Core Set 2021,3.18,3.18,https://c1.scryfall.com/file/scryfall-cards/png/front/4/8/48133629-4a5b-4c91-b496-2ee94f6cbc4c.png?1596168466,-
Garruk's Warsteed,{3}{G}{G},Creature — Rhino,3/5,"Vigilance When Garruk's Warsteed enters the battlefield, you may search your library and/or graveyard for a card named Garruk, Savage Herald, reveal it, and put it into your hand. If you search your library this way, shuffle.",Ilse Gort,Core Set 2021,0.16,0.16,https://c1.scryfall.com/file/scryfall-cards/png/front/d/6/d6099863-8d3d-44bf-8d3b-dc3602119617.png?1596250201,-
Predatory Wurm,{3}{G},Creature — Wurm,4/4,Vigilance (Attacking doesn't cause this creature to tap.) Predatory Wurm gets +2/+2 as long as you control a Garruk planeswalker.,Jason A. Engle,Core Set 2021,0.16,0.16,https://c1.scryfall.com/file/scryfall-cards/png/front/4/0/4073cbc6-11de-4d4a-bcd7-792f9b7c5219.png?1596250202,-
Wildwood Patrol,{2}{G},Creature — Centaur Scout,4/2,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),Dan Scott,Core Set 2021,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/c/c/cceaf927-261e-4d61-9fac-eb8abbe87593.png?1596250214,-
Baneslayer Angel,{3}{W}{W},Creature — Angel,5/5,"Flying, first strike, lifelink, protection from Demons and from Dragons",Greg Staples,Core Set 2021,8.22,8.22,https://c1.scryfall.com/file/scryfall-cards/png/front/0/b/0b0974b4-b306-4026-b0a8-22bd9da3e384.png?1615018790,-
Glorious Anthem,{1}{W}{W},Enchantment,-,Creatures you control get +1/+1.,Raymond Swanland,Core Set 2021,0.88,0.88,https://c1.scryfall.com/file/scryfall-cards/png/front/a/3/a3ba79d6-7da0-46ba-a26a-dc484bdae41d.png?1595107202,-
Idol of Endurance,{2}{W},Artifact,-,"When Idol of Endurance enters the battlefield, exile all creature cards with mana value 3 or less from your graveyard until Idol of Endurance leaves the battlefield. {1}{W}, {T}: Until end of turn, you may cast a creature spell from among cards exiled with Idol of Endurance without paying its mana cost.",Kim Sokol,Core Set 2021,0.34,0.34,https://c1.scryfall.com/file/scryfall-cards/png/front/e/8/e811c396-8992-4c3c-b2f6-c866f1aefcc5.png?1595108036,-
"Mangara, the Diplomat",{3}{W},Legendary Creature — Human Cleric,2/4,"Lifelink Whenever an opponent attacks with creatures, if two or more of those creatures are attacking you and/or planeswalkers you control, draw a card. Whenever an opponent casts their second spell each turn, draw a card.",Howard Lyon,Core Set 2021,16.78,16.78,https://c1.scryfall.com/file/scryfall-cards/png/front/0/1/011cfa46-6827-4418-881b-686eb34e06ce.png?1615018828,-
Nine Lives,{1}{W}{W},Enchantment,-,"Hexproof If a source would deal damage to you, prevent that damage and put an incarnation counter on Nine Lives. When there are nine or more incarnation counters on Nine Lives, exile it. When Nine Lives leaves the battlefield, you lose the game.",Paul Scott Canavan,Core Set 2021,2.01,2.01,https://c1.scryfall.com/file/scryfall-cards/png/front/d/a/dada448c-6431-4172-b458-efa49c302dfb.png?1594774375,-
Pack Leader,{1}{W},Creature — Dog,2/2,"Other Dogs you control get +1/+1. Whenever Pack Leader attacks, prevent all combat damage that would be dealt this turn to Dogs you control.",Rudy Siswanto,Core Set 2021,0.83,0.83,https://c1.scryfall.com/file/scryfall-cards/png/front/1/3/13f7a7ef-aa18-4738-97db-97e50ec3b801.png?1615018862,-
Runed Halo,{W}{W},Enchantment,-,"As Runed Halo enters the battlefield, choose a card name. You have protection from the chosen card name. (You can't be targeted, dealt damage, or enchanted by anything with that name.)",Steve Prescott,Core Set 2021,0.5,0.5,https://c1.scryfall.com/file/scryfall-cards/png/front/1/2/1223eaa0-dee9-4bff-a4d5-3b30aa973b84.png?1615018899,-
Speaker of the Heavens,{W},Creature — Human Cleric,1/1,"Vigilance, lifelink {T}: Create a 4/4 white Angel creature token with flying. Activate only if you have at least 7 life more than your starting life total and only as a sorcery.",Randy Vargas,Core Set 2021,3.98,3.98,https://c1.scryfall.com/file/scryfall-cards/png/front/e/3/e300294d-0bbd-4d28-b2bd-c5a976de212a.png?1594774378,-
"Barrin, Tolarian Archmage",{1}{U}{U},Legendary Creature — Human Wizard,2/2,"When Barrin, Tolarian Archmage enters the battlefield, return up to one other target creature or planeswalker to its owner's hand. At the beginning of your end step, if a permanent was put into your hand from the battlefield this turn, draw a card.",Ryan Pancoast,Core Set 2021,1.66,1.66,https://c1.scryfall.com/file/scryfall-cards/png/front/f/c/fc3765b7-bd99-4c66-8761-1c9cc5bd8666.png?1595109004,-
Discontinuity,{3}{U}{U}{U},Instant,-,"As long as it's your turn, this spell costs {2}{U}{U} less to cast. End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)",Volkan Baǵa,Core Set 2021,3.34,3.34,https://c1.scryfall.com/file/scryfall-cards/png/front/0/b/0b2f8208-0dba-49e0-ae53-b1c9347b92b6.png?1594778656,-
Ghostly Pilferer,{1}{U},Creature — Spirit Rogue,2/1,"Whenever Ghostly Pilferer becomes untapped, you may pay {2}. If you do, draw a card. Whenever an opponent casts a spell from anywhere other than their hand, draw a card. Discard a card: Ghostly Pilferer can't be blocked this turn.",Craig J Spearing,Core Set 2021,2.68,2.68,https://c1.scryfall.com/file/scryfall-cards/png/front/e/4/e4f96dc6-65ff-4527-8fe6-ff508da5b8b9.png?1595124648,-
Pursued Whale,{5}{U}{U},Creature — Whale,8/8,"When Pursued Whale enters the battlefield, each opponent creates a 1/1 red Pirate creature token with ""This creature can't block"" and ""Creatures you control attack each combat if able."" Spells your opponents cast that target Pursued Whale cost {3} more to cast.",Jonathan Kuo,Core Set 2021,0.39,0.39,https://c1.scryfall.com/file/scryfall-cards/png/front/1/4/143052f0-4fcc-4703-9147-75b65ddb8e0f.png?1615018939,-
See the Truth,{1}{U},Sorcery,-,"Look at the top three cards of your library. Put one of those cards into your hand and the rest on the bottom of your library in any order. If this spell was cast from anywhere other than your hand, put each of those cards into your hand instead.",Ekaterina Burmak,Core Set 2021,2.38,2.38,https://c1.scryfall.com/file/scryfall-cards/png/front/d/e/de27dfa8-5790-4b42-ae57-b68814d66e34.png?1615018972,-
Shacklegeist,{1}{U},Creature — Spirit,2/2,Flying Shacklegeist can block only creatures with flying. Tap two untapped Spirits you control: Tap target creature you don't control.,Igor Kieryluk,Core Set 2021,1.53,1.53,https://c1.scryfall.com/file/scryfall-cards/png/front/7/d/7d6d0c71-d1c8-4eb0-96e7-b3325d5fb4c0.png?1594778180,-
Stormwing Entity,{3}{U}{U},Creature — Elemental,3/3,"This spell costs {2}{U} less to cast if you've cast an instant or sorcery spell this turn. Flying Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) When Stormwing Entity enters the battlefield, scry 2.",Caroline Gariba,Core Set 2021,4.6,4.6,https://c1.scryfall.com/file/scryfall-cards/png/front/4/c/4c45b9d2-e49d-4ac1-abda-88a83b58dc30.png?1595125081,-
Sublime Epiphany,{4}{U}{U},Instant,-,Choose one or more —,Counter target activated or triggered ability.,Core Set 2021,6.19,6.19,https://c1.scryfall.com/file/scryfall-cards/png/front/3/2/324c8712-0cfa-465c-a712-2bd1385d8049.png?1595127258,-
Demonic Embrace,{1}{B}{B},Enchantment — Aura,-,"Enchant creature Enchanted creature gets +3/+1, has flying, and is a Demon in addition to its other types. You may cast Demonic Embrace from your graveyard by paying 3 life and discarding a card in addition to paying its other costs.",Sidharth Chaturvedi,Core Set 2021,0.84,0.84,https://c1.scryfall.com/file/scryfall-cards/png/front/4/9/496cf6c9-7e73-448c-abc1-35758d269472.png?1615019009,-
